artist,genre,popularity
Joan Jett and the Blackhearts,rock,6274771
Rusted Root,alternative,2887622
Rev Theory,hard rock,4737623
Monster Magnet,Stoner Rock,10392697
Melvins,Sludge,15367113
Men Without Hats,new wave,2670289
Die Toten Hosen,punk rock,25474311
Fila Brazillia,chillout,4504657
Chico Buarque,mpb,20373191
Heather Nova,female vocalists,4377058
L7,Grunge,4768531
Josh Rouse,singer-songwriter,5902873
Sash!,dance,3652408
10,000 Maniacs,female vocalists,4018713
Elastica,britpop,4307636
Laura Branigan,80s,2495587
Dave Matthews,rock,4793258
Julieta Venegas,latin,7010773
Shawn Colvin,female vocalists,2801808
Meat Puppets,Grunge,5560200
Sasha,trance,3851372
Sasha,trance,3851372
Sasha,trance,3851372
Sasha,trance,3851372
Sasha,trance,3851372
Sasha,trance,3851372
Sasha Sökol,trance,3851372
Saša Dragaš,trance,3851372
Juno Reactor,psytrance,8304312
Los Lobos,latin,3220560
Gerry Rafferty,classic rock,2770547
SWV,rnb,2442792
Atomic Kitten,pop,3210966
Suicidal Tendencies,hardcore,9703447
Orgy,industrial,6133953
Lisa Gerrard,ethereal,5494483
Сплин,russian rock,30642848
Bruce Dickinson,heavy metal,10592047
Mother Love Bone,Grunge,3656383
Kenny G,jazz,5433795
Eros Ramazzotti,italian,6187687
Nine Days,rock,2956299
Billy Bragg,folk,7745251
Ray Parker Jr.,80s,1626606
Fragma,trance,3096874
Loverboy,80s,2221370
Stereo MCs,electronic,3207143
Bette Midler,female vocalists,2834058
Steve Vai,guitar virtuoso,9336275
Kula Shaker,britpop,5965285
Maná,latin,6784206
DJ Sammy,dance,2840015
Ugly Kid Joe,hard rock,3247514
David Byrne,alternative,4521459
S Club 7,pop,3407403
Paul Engemann,Hip-Hop,3426543
Scarface,Hip-Hop,3426543
Scarface,Hip-Hop,3426543
Scarface,Hip-Hop,3426543
Roger Sanchez,House,2161737
Souls of Mischief,Hip-Hop,3979149
Lisa Stansfield,pop,2845652
Galaxie 500,shoegaze,8279225
Los Fabulosos Cadillacs,ska,6325055
Clutch,Stoner Rock,18522614
Melissa Etheridge,rock,3861863
Paula Cole,female vocalists,2307392
Edwin McCain,rock,2258571
Luniz,Hip-Hop,1794339
Montell Jordan,rnb,1474904
Marisa Monte,mpb,10235278
Art of Noise,electronic,3909242
Letoya,rnb,2166177
Alabama,country,3547794
Buckethead,experimental,21848198
American Football,emo,12187769
Pete Rock & C.L. Smooth,Hip-Hop,3872540
2 Unlimited,eurodance,2969077
Sérgio Mendes,Bossa Nova,3631218
Helmet,alternative metal,5953924
Fettes Brot,seen live,7482102
Cornershop,indie,2809658
Alice DeeJay,dance,2629721
Diddy,Hip-Hop,2214602
Diddy,Hip-Hop,2214602
Café Tacvba,latin,10831797
John Cale,singer-songwriter,4942336
Sara Evans,country,2958174
Nate Dogg,G-funk,2707978
Christopher Cross,soft rock,2659328
Michael Franti & Spearhead,seen live,3980289
Alejandro Sanz,spanish,6025990
Howard Jones,80s,2571956
Howard Jones,80s,2571956
Myslovitz,polish,31076055
New Kids on the Block,pop,3220375
AZ,Hip-Hop,3897275
Living Colour,rock,3994191
Soul Coughing,alternative,4514231
Marianne Faithfull,female vocalists,3915449
O-Zone,dance,2463116
La Bouche,eurodance,2124276
Die Fantastischen Vier,german,7650572
Babyface,rnb,2570015
Laura Pausini,italian,13375533
Sunny Day Real Estate,emo,8551883
Kardinal Offishall,Hip-Hop,1764751
Technotronic,dance,1712526
Taj Mahal,blues,2964325
Mano Negra,ska,5151691
Sparks,new wave,6611696
Anita Baker,soul,2813254
Noir Désir,french,8645007
Geri Halliwell,pop,2610438
Dr. Alban,dance,2304908
Beanie Sigel,Hip-Hop,1731441
Eek-A-Mouse,reggae,3006479
Digable Planets,Hip-Hop,4151384
Earshot,alternative rock,3416890
John Fogerty,classic rock,3380227
Indigo Girls,folk,4495003
Scott Walker,singer-songwriter,7406930
La Oreja de Van Gogh,spanish,8409147
Guru,Hip-Hop,5210715
Oingo Boingo,new wave,5788092
Frank Black,alternative,5131176
John Travolta,Soundtrack,1800499
Darlene Love,soul,1638543
Corona,dance,1824637
Corona,dance,1824637
Corona,dance,1824637
Corona,dance,1824637
Culture Beat,eurodance,1895985
Dave Matthews,acoustic,5194834
Jimmy Buffett,country,5299456
Jarabe de Palo,spanish,4895317
EPMD,Hip-Hop,2959671
Incognito,acid jazz,4486832
EMF,90s,1560218
Boz Scaggs,classic rock,2830620
Idlewild,indie,7328594
Mr. Bungle,experimental,9208438
Joan Jett,rock,2682538
Alan Menken,Soundtrack,5986189
Daniel Johnston,Lo-Fi,8461551
Ini Kamoze,reggae,1602176
Pillar,christian rock,5330520
C+C Music Factory,dance,1341077
Geto Boys,Hip-Hop,3156761
Justin Moore,country,2600426
Supreme Beings of Leisure,trip-hop,3190272
Dion,oldies,2170518
White Town,electronic,1835966
Scatman John,dance,2291219
Sebadoh,Lo-Fi,8069313
Keith Sweat,rnb,2061782
Cowboy Junkies,Alt-country,4666369
Smog,singer-songwriter,6716422
Lambchop,Alt-country,6284129
Red Snapper,trip-hop,4232666
Days of the New,Grunge,3365063
Pete Rock,Hip-Hop,4862187
Orson,indie,2823456
Jerry Cantrell,Grunge,3431822
Aaron Neville,soul,1829783
Gordon Lightfoot,folk,3511196
Red House Painters,slowcore,7551001
Taylor Dayne,80s,1661950
Arrested Development,Hip-Hop,2737062
Alannah Myles,rock,1971781
Nik Kershaw,80s,2551113
Reba McEntire,country,3844581
Michael Sembello,80s,1463982
Amadou & Mariam,african,5215540
David Holmes,electronic,4263185
Clinic,indie,5327118
Bobby Brown,rnb,1779410
LEN,pop,1507924
Jodeci,rnb,2112528
Catch 22,ska,6322741
Catch 22,ska,6322741
Catch 22,ska,6322741
Catch 22,ska,6322741
Catch 22,ska,6322741
Catch 22,ska,6322741
Catch 22,ska,6322741
Catch 22,ska,6322741
Right Said Fred,pop,1414561
Boyzone,pop,3000327
Paulina Rubio,latin,3464377
Adiemus,new age,2932507
Alison Moyet,female vocalists,2558046
Rank 1,trance,2550397
Masta Ace,Hip-Hop,5123685
George Thorogood & the Destroyers,blues rock,2570785
South Park,comedy,3132950
